iter	RMSE
0	3.160157627
1	3.098055551
2	3.045489866
3	2.997529786
4	2.944034774
5	2.902366315
6	2.861293862
7	2.82421509
8	2.789009157
9	2.752634241
10	2.721802914
11	2.693970524
12	2.665260428
13	2.639921852
14	2.611775283
15	2.585945008
16	2.563466233
17	2.542509642
18	2.521736737
19	2.503769525
20	2.486917341
21	2.469017535
22	2.455072452
23	2.437982587
24	2.426681831
25	2.412487793
26	2.401377024
27	2.38958582
28	2.375892175
29	2.364183485
30	2.353034205
31	2.342519279
32	2.331601019
33	2.321849845
34	2.311542432
35	2.304040127
36	2.29551786
37	2.288262999
38	2.281226035
39	2.274228491
40	2.267834398
41	2.261859164
42	2.254280971
43	2.248073647
44	2.241595502
45	2.235320603
46	2.229950184
47	2.224788597
48	2.219570277
49	2.214695886
50	2.209595176
51	2.20549565
52	2.201269534
53	2.197715553
54	2.193605311
55	2.190417454
56	2.187964283
57	2.1835432
58	2.179716785
59	2.176911128
60	2.172987902
61	2.168149422
62	2.165034487
63	2.161866851
64	2.15848433
65	2.154733863
66	2.150425864
67	2.146785394
68	2.141935421
69	2.138601624
70	2.13544968
71	2.131949558
72	2.12868997
73	2.126448241
74	2.123642519
75	2.12125033
76	2.118591908
77	2.114853822
78	2.112264401
79	2.110275313
80	2.107952436
81	2.104992605
82	2.102568293
83	2.100347893
84	2.097343186
85	2.09511261
86	2.093244519
87	2.0918061
88	2.088474299
89	2.086865397
90	2.085500494
91	2.084759586
92	2.082943958
93	2.080951676
94	2.079005062
95	2.077582158
96	2.075999785
97	2.074298822
98	2.07379608
99	2.071794117
100	2.069591563
101	2.069000556
102	2.067225709
103	2.065073839
104	2.063511316
105	2.061799803
106	2.059576101
107	2.057856215
108	2.055117624
109	2.053947145
110	2.052662214
111	2.051082669
112	2.049053787
113	2.047135609
114	2.045182074
115	2.043667229
116	2.042809981
117	2.040044867
118	2.038499801
119	2.036995539
120	2.035715504
121	2.034197075
122	2.032643154
123	2.031391073
124	2.030027615
125	2.029102652
126	2.02779357
127	2.025824549
128	2.024429379
129	2.023002496
130	2.02110504
131	2.019833508
132	2.019251212
133	2.018272867
134	2.016423252
135	2.015004464
136	2.014051072
137	2.012733506
138	2.010302245
139	2.008896551
140	2.008401524
141	2.006736065
142	2.00545265
143	2.003300101
144	2.001404492
145	1.999625077
146	1.998716007
147	1.996866146
148	1.995677527
149	1.994668044
150	1.992990607
151	1.992351169
152	1.991335194
153	1.989348087
154	1.987894749
155	1.986248112
156	1.985095361
157	1.984777855
158	1.983998928
159	1.983607148
160	1.982227553
161	1.981127522
162	1.979760446
163	1.979103989
164	1.978064115
165	1.97646406
166	1.975968327
167	1.974838204
168	1.973539674
169	1.973204216
170	1.972741756
171	1.972284008
172	1.971217967
173	1.970402563
174	1.967704334
175	1.967188968
176	1.965273241
177	1.964259532
178	1.963795003
179	1.963368137
180	1.962800683
181	1.962612228
182	1.961578468
183	1.960877331
184	1.960382713
185	1.958525888
186	1.957759411
187	1.957027524
188	1.955448396
189	1.954716495
190	1.953428809
191	1.952677643
192	1.952207121
193	1.951701936
194	1.951310548
195	1.950946293
196	1.950634436
197	1.948548078
198	1.948157289
199	1.946334357
200	1.944229075
201	1.941753578
202	1.941610463
203	1.941406679
204	1.938766811
205	1.938413184
206	1.938144855
207	1.936297301
208	1.936234351
209	1.935589297
210	1.933752915
211	1.932355753
212	1.932202827
213	1.930075732
214	1.929457957
215	1.92881195
216	1.926665092
217	1.925088144
218	1.923783006
219	1.922237505
220	1.921551715
221	1.920967383
222	1.920188255
223	1.918500475
224	1.916135165
225	1.91605494
226	1.914655171
227	1.913336585
228	1.910938816
229	1.909606732
230	1.90770315
231	1.905502361
232	1.905451359
233	1.904137232
234	1.901912797
235	1.90055872
236	1.899604124
237	1.898958199
238	1.897325503
239	1.896112334
240	1.894627974
241	1.894109832
242	1.89281228
243	1.890406601
244	1.889469132
245	1.888566557
246	1.888002106
247	1.887957389
248	1.887276594
249	1.885849001
250	1.885367097
251	1.883320803
252	1.881126494
253	1.879976071
254	1.879933874
255	1.879088689
256	1.877898139
257	1.876780036
258	1.875898156
259	1.874322207
260	1.874078517
261	1.873354431
262	1.871562144
263	1.871045766
264	1.870525549
265	1.868241498
266	1.86767187
267	1.867636333
268	1.865831794
269	1.863942732
270	1.861410265
271	1.861265152
272	1.860639164
273	1.860545507
