iter	Passed	Remaining
0	162	161932
1	163	81831
2	165	55047
3	167	41636
4	168	33576
5	170	28222
6	172	24414
7	173	21558
8	175	19330
9	177	17564
10	179	16102
11	180	14883
12	182	13849
13	184	12966
14	185	12203
15	187	11525
16	189	10935
17	190	10400
18	192	9940
19	194	9512
20	195	9135
21	197	8787
22	199	8469
23	201	8185
24	203	7918
25	204	7668
26	206	7443
27	208	7239
28	210	7039
29	211	6852
30	213	6680
31	215	6515
32	217	6361
33	218	6215
34	220	6080
35	223	5973
36	224	5855
37	226	5742
38	228	5632
39	230	5523
40	231	5419
41	233	5325
42	235	5231
43	236	5143
44	238	5064
45	240	4984
46	241	4906
47	243	4834
48	245	4763
49	247	4695
50	248	4630
51	250	4570
52	252	4519
53	254	4461
54	256	4406
55	258	4351
56	259	4297
57	261	4246
58	262	4194
59	264	4146
60	266	4099
61	268	4057
62	270	4015
63	271	3972
64	273	3931
65	274	3889
66	276	3849
67	278	3812
68	279	3774
69	281	3737
70	283	3703
71	285	3676
72	286	3644
73	288	3610
74	290	3578
75	291	3546
76	293	3513
77	294	3483
78	296	3454
79	297	3424
80	299	3399
81	301	3373
82	302	3346
83	304	3321
84	306	3297
85	307	3273
86	309	3248
87	311	3224
88	312	3202
89	314	3182
90	316	3162
91	318	3140
92	319	3119
93	321	3098
94	323	3077
95	325	3060
96	326	3041
97	328	3022
98	330	3005
99	331	2987
100	333	2969
101	335	2950
102	336	2933
103	338	2915
104	340	2899
105	341	2882
106	343	2865
107	345	2851
108	347	2836
109	348	2820
110	350	2804
111	351	2788
112	353	2772
113	354	2756
114	356	2741
115	357	2726
116	359	2711
117	361	2702
118	363	2690
119	365	2676
120	366	2664
121	368	2650
122	369	2637
123	371	2623
124	372	2610
125	374	2596
126	376	2587
127	378	2577
128	380	2567
129	382	2556
130	383	2546
131	386	2539
132	387	2527
133	389	2516
134	391	2505
135	393	2496
136	394	2485
137	396	2474
138	397	2464
139	399	2453
140	400	2442
141	402	2432
142	404	2421
143	405	2410
144	407	2401
145	409	2392
146	410	2382
147	412	2373
148	413	2363
149	415	2354
150	417	2344
151	418	2335
152	420	2327
153	422	2321
154	424	2313
155	425	2304
156	427	2295
157	429	2286
158	430	2278
159	432	2269
160	434	2263
161	436	2255
162	438	2251
163	440	2244
164	441	2236
165	443	2228
166	445	2221
167	447	2214
168	448	2206
169	450	2199
170	452	2192
171	454	2185
172	455	2178
173	457	2170
174	458	2163
175	460	2156
176	462	2148
177	463	2141
178	465	2134
179	466	2126
180	468	2118
181	469	2112
182	471	2105
183	473	2098
184	474	2091
185	476	2086
186	478	2079
187	480	2073
188	481	2066
189	483	2059
190	485	2054
191	486	2047
192	488	2041
193	489	2034
194	491	2028
195	492	2021
196	493	2013
197	495	2006
198	496	1999
199	498	1993
200	500	1989
201	502	1983
202	503	1978
203	505	1972
204	507	1966
205	508	1960
206	510	1953
207	511	1948
208	512	1940
209	514	1934
210	516	1929
211	517	1924
212	519	1918
213	521	1913
214	522	1908
215	527	1915
216	531	1917
217	534	1919
218	537	1918
219	541	1921
220	544	1919
221	547	1918
222	551	1923
223	554	1919
224	556	1915
225	557	1910
226	559	1905
227	561	1900
228	563	1896
229	564	1891
230	566	1886
231	569	1885
232	571	1880
233	573	1875
234	574	1871
235	576	1866
236	578	1862
237	580	1857
238	581	1852
239	583	1848
240	585	1843
241	587	1838
242	588	1834
243	590	1829
244	592	1825
245	594	1821
246	595	1816
247	597	1812
248	599	1807
249	601	1803
250	602	1798
251	604	1794
252	606	1790
253	608	1786
254	610	1782
255	611	1778
256	613	1774
257	615	1769
258	617	1765
259	618	1761
260	620	1756
261	621	1751
262	623	1747
263	625	1743
264	626	1739
265	628	1734
266	630	1730
267	631	1726
268	633	1721
269	635	1717
270	636	1713
271	638	1708
272	640	1704
273	641	1700
274	643	1695
275	644	1691
276	646	1686
277	647	1682
278	649	1678
279	651	1674
280	652	1669
281	654	1665
282	656	1662
283	657	1658
284	659	1654
285	661	1650
286	662	1645
287	664	1642
288	665	1637
289	667	1633
290	668	1629
291	670	1626
292	672	1623
293	674	1619
294	676	1615
295	677	1612
296	679	1608
297	681	1604
298	682	1600
299	684	1596
300	700	1626
301	702	1622
302	704	1619
303	705	1615
304	707	1612
305	709	1608
306	710	1604
307	712	1600
308	713	1596
309	715	1592
310	716	1588
311	718	1585
312	720	1581
313	722	1577
314	724	1574
315	725	1571
316	727	1567
317	729	1563
318	730	1559
319	732	1556
320	733	1552
321	735	1548
322	737	1544
323	738	1541
324	740	1537
325	742	1534
326	743	1530
327	745	1528
328	747	1525
329	749	1521
330	751	1518
331	752	1514
332	754	1511
333	756	1508
334	757	1504
335	759	1500
336	761	1497
337	763	1494
338	764	1491
339	766	1487
340	768	1484
341	769	1481
342	771	1477
343	773	1474
344	774	1471
345	776	1467
346	778	1464
347	780	1461
348	781	1458
349	783	1454
350	784	1451
351	786	1448
352	788	1444
353	789	1441
354	791	1438
355	793	1434
356	795	1431
357	796	1429
358	798	1425
359	799	1422
360	801	1418
361	803	1415
362	804	1411
363	806	1408
364	807	1405
365	809	1401
366	810	1398
367	812	1395
368	814	1392
369	815	1388
370	817	1385
371	818	1382
372	820	1379
373	821	1375
374	823	1372
375	824	1368
376	826	1365
377	828	1363
378	829	1359
379	831	1356
380	833	1353
381	834	1350
382	836	1347
383	837	1344
384	839	1341
385	841	1338
386	843	1335
387	844	1332
388	846	1330
389	848	1327
390	850	1324
391	852	1321
392	853	1318
393	855	1315
394	858	1314
395	860	1312
396	862	1309
397	864	1306
398	865	1304
399	867	1301
400	869	1298
401	871	1295
402	872	1293
403	874	1290
404	876	1287
405	878	1284
406	879	1281
407	881	1278
408	882	1275
409	884	1272
410	886	1270
411	887	1267
412	889	1264
413	891	1261
414	892	1258
415	894	1255
416	896	1253
417	897	1250
418	899	1247
419	901	1244
420	903	1243
421	905	1240
422	907	1237
423	908	1234
424	910	1231
425	912	1229
426	914	1226
427	915	1223
428	917	1221
429	919	1219
430	921	1216
431	923	1214
432	925	1211
433	927	1209
434	929	1206
435	930	1203
436	933	1202
437	935	1200
438	937	1198
439	939	1195
440	941	1193
441	943	1190
442	945	1188
443	947	1185
444	948	1183
445	951	1181
446	953	1179
447	955	1177
448	957	1174
449	959	1172
450	961	1170
451	963	1167
452	965	1165
453	967	1163
454	969	1160
455	971	1159
456	973	1157
457	975	1154
458	977	1152
459	980	1150
460	982	1148
461	983	1145
462	985	1142
463	987	1140
464	989	1138
465	991	1136
466	993	1133
467	994	1130
468	996	1128
469	999	1126
470	1000	1124
471	1002	1121
472	1004	1119
473	1006	1116
474	1007	1113
475	1009	1111
476	1011	1108
477	1012	1106
478	1014	1103
479	1016	1100
480	1018	1098
481	1019	1096
482	1021	1093
483	1023	1090
484	1024	1088
485	1027	1086
486	1029	1084
487	1031	1081
488	1033	1079
489	1034	1077
490	1036	1074
491	1038	1072
492	1040	1069
493	1042	1067
494	1043	1065
495	1045	1062
496	1047	1060
497	1049	1057
498	1051	1055
499	1052	1052
500	1054	1050
501	1057	1049
502	1060	1047
503	1062	1045
504	1063	1042
505	1065	1040
506	1067	1037
507	1069	1035
508	1071	1033
509	1074	1032
510	1076	1030
511	1078	1027
512	1080	1025
513	1082	1023
514	1084	1021
515	1086	1018
516	1087	1016
517	1090	1014
518	1091	1012
519	1093	1009
520	1095	1007
521	1097	1004
522	1099	1003
523	1101	1000
524	1103	998
525	1105	996
526	1107	993
527	1109	991
528	1111	989
529	1113	987
530	1114	984
531	1116	982
532	1118	979
533	1121	978
534	1123	976
535	1125	973
536	1127	971
537	1129	970
538	1132	968
539	1134	966
540	1136	964
541	1138	962
542	1141	960
543	1144	959
544	1146	956
545	1148	954
546	1150	952
547	1152	950
548	1154	948
549	1156	946
550	1159	944
551	1161	942
552	1163	940
553	1164	937
554	1167	935
555	1169	933
556	1170	931
557	1172	928
558	1174	926
559	1176	924
560	1177	921
561	1179	919
562	1181	916
563	1183	914
564	1184	912
565	1186	909
566	1188	907
567	1190	905
568	1191	902
569	1193	900
570	1195	898
571	1197	896
572	1199	893
573	1201	891
574	1202	889
575	1204	886
576	1206	884
577	1207	881
578	1209	879
579	1211	876
580	1212	874
581	1214	872
582	1216	870
583	1218	867
584	1219	865
585	1221	863
586	1223	860
587	1224	858
588	1226	855
589	1228	853
590	1230	851
591	1231	848
592	1233	846
593	1235	844
594	1236	841
595	1238	839
596	1240	837
597	1241	834
598	1243	832
599	1245	830
600	1247	827
601	1248	825
602	1250	823
603	1251	820
604	1253	818
605	1255	816
606	1256	813
607	1258	811
608	1260	809
609	1262	806
610	1263	804
611	1265	802
612	1266	799
613	1268	797
614	1270	795
615	1271	792
616	1273	790
617	1275	788
618	1276	785
619	1278	783
620	1280	781
621	1281	778
622	1283	776
623	1285	774
624	1286	771
625	1288	769
626	1290	767
627	1292	765
628	1294	763
629	1296	761
630	1298	759
631	1300	757
632	1301	754
633	1303	752
634	1305	750
635	1307	748
636	1309	746
637	1311	744
638	1313	742
639	1315	739
640	1317	737
641	1319	735
642	1321	733
643	1323	731
644	1325	729
645	1327	727
646	1329	725
647	1330	722
648	1332	720
649	1334	718
650	1336	716
651	1338	714
652	1340	712
653	1341	709
654	1343	707
655	1345	705
656	1347	703
