iter	RMSE
0	0.4170859084
1	0.4070657759
2	0.3977334588
3	0.3891089683
4	0.3815911382
5	0.3748942217
6	0.369024499
7	0.3637978837
8	0.3588518543
9	0.3545795069
10	0.3506707547
11	0.3472231315
12	0.3440135975
13	0.341458347
14	0.3389418396
15	0.3365806968
16	0.3345516289
17	0.3327629583
18	0.3311648678
19	0.3296785502
20	0.3283576344
21	0.3270508838
22	0.3258315079
23	0.3246682078
24	0.3236873964
25	0.3228129554
26	0.3220682613
27	0.321268409
28	0.3204525151
29	0.3198294076
30	0.3192201786
31	0.3186424665
32	0.3181531779
33	0.3177069319
34	0.317283412
35	0.3168406269
36	0.3163847417
37	0.3160421345
38	0.3156071198
39	0.3152694161
40	0.3149543167
41	0.3146980683
42	0.3144205846
43	0.3141072805
44	0.3138433148
45	0.3135343406
46	0.3132350049
47	0.3130529906
48	0.3128302077
49	0.3126572236
50	0.3123944728
51	0.3121970754
52	0.312003883
53	0.311820529
54	0.3116681815
55	0.3114710166
56	0.3112592426
57	0.310946904
58	0.310735202
59	0.3104583981
60	0.310356639
61	0.3102296183
62	0.3100891172
63	0.3098707275
64	0.3097022898
65	0.3095596707
66	0.3094273575
67	0.3092688255
68	0.3091341126
69	0.3089884597
70	0.3088237003
71	0.3086220577
72	0.3085417714
73	0.3083970169
74	0.3082472409
75	0.3081313142
76	0.3079994155
77	0.3079022317
78	0.3077902406
79	0.3076644503
80	0.3075297741
81	0.3074539832
82	0.3071523202
83	0.3070436387
84	0.3069286118
85	0.3068433112
86	0.3067820748
87	0.3067130974
88	0.3066502205
89	0.3065545804
90	0.3064008947
91	0.3062683491
92	0.3061812013
93	0.3060831588
94	0.3059829533
95	0.305887204
96	0.305803526
97	0.3057133622
98	0.305454447
99	0.3054001123
100	0.3053202686
101	0.3052050025
102	0.3051349975
103	0.3050606903
104	0.3049842708
105	0.3049422157
106	0.3048548394
107	0.3048120828
108	0.3047574204
109	0.3046893823
110	0.3046260642
111	0.3045580831
112	0.3044460462
113	0.304375406
114	0.3043123646
115	0.3042158352
116	0.304160939
117	0.3040886459
118	0.3040009199
119	0.3039262418
120	0.3038511311
121	0.3037972732
122	0.3037210225
123	0.3036679523
124	0.3036077021
125	0.3035985045
126	0.3035259454
127	0.3034360978
