iter	Passed	Remaining
0	4	4515
1	8	4457
2	14	4938
3	19	4911
4	25	5152
5	31	5218
6	36	5208
7	41	5121
8	56	6182
9	61	6104
10	66	5966
11	70	5807
12	75	5713
13	79	5595
14	83	5481
15	87	5381
16	91	5319
17	96	5239
18	100	5174
19	105	5147
20	109	5117
21	114	5068
22	118	5020
23	122	4995
24	127	4962
25	131	4941
26	136	4921
27	141	4914
28	146	4900
29	150	4880
30	155	4868
31	160	4859
32	165	4837
33	169	4818
34	173	4792
35	178	4772
36	182	4741
37	186	4725
38	190	4705
39	194	4678
40	200	4684
41	205	4693
42	209	4672
43	214	4655
44	218	4642
45	223	4637
46	229	4645
47	234	4646
48	238	4635
49	243	4622
50	247	4607
51	252	4602
52	257	4598
53	262	4597
54	266	4581
55	270	4564
56	275	4557
57	279	4547
58	284	4539
59	299	4698
60	303	4678
61	307	4659
62	311	4638
63	316	4623
64	320	4608
65	324	4594
66	329	4587
67	334	4587
68	340	4596
69	344	4583
70	351	4592
71	356	4594
72	361	4588
73	366	4582
74	370	4566
75	374	4547
76	379	4548
77	383	4538
78	387	4522
79	391	4507
80	396	4497
81	401	4490
82	405	4481
83	410	4473
84	415	4468
85	419	4461
86	424	4452
87	429	4454
88	434	4449
89	438	4435
90	442	4422
91	447	4413
92	451	4399
93	455	4387
94	459	4374
95	463	4360
96	467	4351
97	471	4336
98	475	4329
99	479	4318
100	483	4307
101	487	4293
102	491	4282
103	495	4272
104	499	4261
105	503	4247
106	507	4236
107	512	4229
108	515	4216
109	519	4205
110	523	4194
111	537	4264
112	542	4261
113	546	4251
114	550	4238
115	554	4227
116	559	4220
117	562	4207
118	566	4196
119	570	4186
120	575	4179
121	579	4167
122	582	4154
123	586	4145
124	591	4138
125	593	4117
126	597	4104
127	601	4094
128	605	4085
129	609	4076
130	612	4065
131	617	4057
132	621	4050
133	624	4038
134	628	4027
135	632	4017
136	636	4009
137	640	3999
138	643	3988
139	647	3978
140	651	3967
141	655	3959
142	659	3950
143	662	3938
144	666	3927
145	669	3918
146	673	3907
147	676	3896
148	680	3885
149	683	3874
150	687	3864
151	691	3855
152	694	3844
153	697	3833
154	702	3827
155	705	3818
156	709	3809
157	713	3800
158	717	3794
159	720	3784
160	724	3774
161	727	3763
162	731	3755
163	735	3749
164	739	3740
165	742	3730
166	746	3722
167	750	3715
168	754	3708
169	757	3699
170	762	3695
171	767	3693
172	778	3721
173	782	3716
174	786	3708
175	790	3700
176	793	3691
177	798	3687
178	802	3682
179	806	3674
180	810	3665
181	814	3662
182	819	3658
183	824	3656
184	830	3660
185	836	3658
186	841	3659
187	847	3660
188	853	3661
189	859	3664
190	864	3663
191	869	3661
192	874	3657
193	880	3657
194	886	3658
195	891	3658
196	897	3658
197	902	3657
198	907	3654
199	912	3650
200	917	3646
201	922	3645
202	928	3647
203	933	3642
204	937	3635
205	941	3628
206	945	3623
207	950	3619
208	955	3617
209	961	3616
210	965	3612
211	970	3606
212	975	3603
213	979	3597
214	983	3590
215	987	3585
216	992	3581
217	997	3577
218	1001	3571
219	1006	3569
220	1021	3600
221	1026	3596
222	1030	3592
223	1035	3585
224	1040	3582
225	1044	3576
226	1048	3571
227	1053	3566
228	1057	3560
229	1061	3554
230	1065	3546
231	1069	3540
232	1073	3534
233	1078	3530
234	1083	3525
235	1088	3522
236	1092	3517
237	1096	3511
238	1101	3507
239	1106	3503
240	1110	3497
241	1115	3492
242	1120	3489
243	1124	3484
244	1129	3481
245	1136	3482
246	1141	3480
247	1146	3475
248	1151	3472
249	1155	3466
250	1159	3460
251	1163	3453
252	1167	3446
253	1171	3439
254	1175	3434
255	1180	3429
256	1185	3426
257	1189	3420
258	1193	3414
259	1197	3408
260	1201	3402
261	1205	3395
262	1209	3390
263	1214	3384
264	1218	3378
265	1221	3371
266	1225	3365
267	1229	3359
268	1234	3354
269	1237	3346
270	1241	3338
271	1244	3330
272	1248	3323
273	1251	3316
274	1254	3308
275	1258	3300
276	1262	3294
277	1266	3288
278	1270	3284
279	1275	3279
280	1280	3277
281	1285	3271
282	1289	3266
283	1293	3261
284	1297	3256
285	1301	3249
286	1305	3243
287	1310	3239
288	1314	3234
289	1318	3228
290	1322	3222
291	1326	3217
292	1330	3211
293	1334	3205
294	1339	3200
295	1343	3196
