iter	RMSE
0	0.3142321525
1	0.3086858671
2	0.3040994396
3	0.3002256188
4	0.2961387644
5	0.2926483562
6	0.2899189006
7	0.2868258306
8	0.2840816839
9	0.2817544382
10	0.2797595008
11	0.2780453982
12	0.276462251
13	0.2749739369
14	0.2733900138
15	0.2723505864
16	0.271242704
17	0.2700533607
18	0.2690474267
19	0.268098209
20	0.2673328379
21	0.2664447703
22	0.2658878826
23	0.2653594668
24	0.2648111941
25	0.2643323395
26	0.2637955227
27	0.2628523347
28	0.2624915337
29	0.2619794637
30	0.2616148169
31	0.2612482841
32	0.2609447865
33	0.2606038217
34	0.2601673754
35	0.2597328884
36	0.2594436424
37	0.2591637418
38	0.2587908906
39	0.2585627799
40	0.2582067684
41	0.2578555128
42	0.2576482645
43	0.2574202666
44	0.2571927557
45	0.2569911094
46	0.2567754972
47	0.2565334205
48	0.256410228
49	0.2562778853
50	0.2559073217
51	0.2557338966
52	0.2554510332
53	0.2550573104
54	0.2549297749
55	0.2547613281
56	0.2544339786
57	0.2539759442
58	0.2535804068
59	0.2534532803
60	0.2533073327
61	0.2531448785
62	0.2530107678
63	0.2529206827
64	0.252751419
65	0.2525430076
66	0.2522787143
67	0.2519266083
68	0.2517184272
69	0.2516137093
70	0.2513590383
71	0.2511413999
72	0.251062739
73	0.2508312635
74	0.2507161022
75	0.2506182177
76	0.2502880706
77	0.2501782929
78	0.2500746012
79	0.2500026148
80	0.2498570091
81	0.2497332157
82	0.2496351913
83	0.2495273289
84	0.2494485609
85	0.249331027
86	0.2492202147
87	0.2491526065
88	0.2490038881
89	0.2489018881
90	0.2487905401
91	0.2487009137
92	0.2485502114
93	0.2484758466
94	0.2483769727
95	0.2482314675
96	0.2481338749
97	0.247887876
98	0.2478069745
99	0.2477384523
100	0.2475733516
101	0.2474966218
102	0.2473775145
103	0.2472599922
104	0.2472097221
105	0.2470813667
106	0.2470096174
107	0.2469320889
108	0.2468588351
109	0.2467649003
110	0.2466433723
111	0.2465952158
112	0.2464885177
113	0.2463326576
114	0.2462619933
115	0.2461892957
116	0.2461180972
117	0.2460733392
118	0.2459986512
119	0.2459668148
120	0.2458467418
121	0.2457660366
122	0.2455792844
123	0.2454729527
124	0.2454387256
125	0.2452100344
126	0.2451770564
127	0.2450955503
128	0.2449392665
129	0.2448189883
130	0.2447589037
131	0.2446780233
132	0.2445216385
133	0.2444546189
134	0.2444068514
135	0.2443274726
136	0.2442625645
137	0.2440880487
138	0.2440241736
139	0.2439507841
140	0.2438791192
141	0.2437894277
142	0.2436803864
143	0.2436288002
144	0.2435749305
145	0.2434490992
146	0.2433566029
147	0.2433301569
148	0.2432716723
149	0.2431359622
150	0.2430652084
151	0.2430009301
152	0.2429657572
153	0.2428980595
154	0.2428243137
155	0.2427438984
156	0.2425987292
157	0.2425183487
158	0.2423765432
159	0.2422778676
160	0.2422092396
161	0.2421659457
162	0.2420757317
163	0.2420168322
164	0.2419191649
165	0.2418129081
166	0.2416402232
167	0.2415429909
168	0.2414882074
169	0.2413913947
170	0.2412899478
171	0.2412599248
172	0.2411971624
173	0.2411465196
174	0.241101457
175	0.2410368435
176	0.2409806771
177	0.2409507475
178	0.2409031991
179	0.240867008
180	0.2408159368
181	0.2407699131
182	0.2406965906
183	0.2406338767
184	0.2405633667
185	0.240515267
186	0.2404590948
187	0.2404127726
188	0.2402886475
189	0.2401860526
190	0.2401295118
191	0.2400652202
192	0.2399818696
193	0.2398618714
194	0.2398355027
195	0.2397726768
196	0.2397354299
197	0.2397114526
198	0.2396370458
199	0.2395365702
200	0.2394499078
201	0.2393945613
202	0.2393652082
203	0.2393018566
204	0.2392158856
205	0.2391079848
206	0.2390541509
207	0.2389774074
208	0.2388935972
209	0.2388545725
210	0.2388062471
211	0.2387185585
212	0.2386652723
213	0.2386359903
214	0.2386029625
215	0.2385779772
216	0.2384985853
217	0.2384554571
218	0.2383680982
219	0.2382894716
220	0.238229675
221	0.2381593328
222	0.2380819204
223	0.2380567593
224	0.2379745698
225	0.2379012206
226	0.2378279907
227	0.2376895415
228	0.2376178978
229	0.2375735132
230	0.2375116668
231	0.2374900194
232	0.2374049942
233	0.2373513133
234	0.2372900318
235	0.2372265519
236	0.2371628918
237	0.2370698924
238	0.2370047996
239	0.2369786108
240	0.2369360642
241	0.2369008317
242	0.2368054813
243	0.23675278
244	0.2366978263
245	0.2366355091
246	0.2365581629
247	0.2365024088
248	0.2364820082
249	0.2364319561
250	0.2363665628
251	0.23630011
252	0.2362468552
253	0.23619202
254	0.2361378067
255	0.2361157198
256	0.2360413302
257	0.2360197991
258	0.2359379296
259	0.2358762976
260	0.2358202541
261	0.2357407396
262	0.2356914061
263	0.2356078036
264	0.2355645113
265	0.2354910977
266	0.2354437143
267	0.235389303
268	0.2353266017
269	0.2352863737
270	0.2352503495
271	0.2351970627
272	0.2351808942
273	0.2351073556
274	0.2350473893
275	0.2349850229
276	0.23493003
277	0.2348659944
278	0.2347898992
279	0.2347331334
280	0.2347038698
281	0.2346612966
282	0.2345933743
283	0.2345502227
284	0.2345057671
285	0.2344994491
286	0.23444524
287	0.2343758709
288	0.2343578906
289	0.2342946233
290	0.2342187316
291	0.2341515586
292	0.2340949711
293	0.2340134637
294	0.2339683868
295	0.2339282326
296	0.2338432321
297	0.2337955496
298	0.2337337933
299	0.233715725
300	0.2336425934
301	0.2335917359
302	0.2335335786
303	0.2334512821
304	0.2333877776
305	0.2333406782
306	0.2332948702
307	0.2332545903
308	0.2332012005
309	0.2331061099
310	0.2330958884
311	0.2330572784
312	0.2329963032
313	0.2329184764
314	0.2328635905
315	0.2328038296
316	0.2327994126
317	0.2327430259
318	0.2326831079
319	0.2326454809
320	0.2325957503
321	0.2325550632
322	0.2325405724
323	0.2325038714
324	0.2324738926
325	0.2324544105
326	0.2324104323
327	0.2323341234
328	0.2322785717
329	0.2322260617
330	0.232151515
331	0.2320882957
332	0.2320402703
333	0.2319813623
334	0.2319566749
335	0.2318965883
336	0.2318832615
337	0.2318356332
338	0.2317905151
339	0.2317247832
340	0.2316553909
341	0.2316028758
342	0.2315537632
343	0.2315015263
344	0.2314637182
345	0.2314381269
346	0.2313816366
347	0.2313297413
348	0.2312542291
349	0.2312157485
350	0.231177025
351	0.2311471263
352	0.2310935272
353	0.231026377
354	0.2309807403
355	0.2309153991
356	0.2308223125
357	0.2307601769
358	0.2307004514
359	0.2306778285
360	0.2306438341
361	0.2305817183
362	0.2305307367
363	0.2304728394
364	0.2304095777
365	0.2303722333
366	0.2303209114
367	0.2302794446
368	0.2302367311
369	0.2301824147
370	0.2301214589
371	0.2300677105
372	0.2300153942
373	0.2299631347
374	0.2299266509
375	0.2298565673
376	0.2297841405
377	0.2297332959
378	0.2296714339
379	0.2296357822
380	0.2295956199
381	0.2295602413
382	0.2295533421
383	0.229521532
384	0.2294520879
385	0.2294073161
386	0.229363115
387	0.2293073815
388	0.2292964496
389	0.2292428631
390	0.2292311354
391	0.2291780146
392	0.2291440587
393	0.2290871975
394	0.2290508815
395	0.228974593
396	0.2289253693
397	0.2289046797
398	0.2288605747
399	0.2287931832
400	0.2287486386
401	0.2287106225
402	0.2286760587
403	0.2286313901
404	0.2285983163
405	0.2285630585
406	0.2285146645
407	0.2284672897
408	0.2284101862
409	0.2283657377
410	0.228299913
411	0.2282484418
412	0.228204579
413	0.2281833155
414	0.2281175096
415	0.2280536198
416	0.2280146987
417	0.2279958342
418	0.2279723676
419	0.2279572458
420	0.2278865179
421	0.227841598
422	0.22779841
423	0.2277842488
424	0.2277429463
425	0.2277115624
426	0.227677531
427	0.2276156039
428	0.2275786418
429	0.227525939
430	0.2274785589
431	0.2274416298
