iter	Passed	Remaining
0	205	205409
1	210	104790
2	214	71278
3	219	54550
4	224	44733
5	229	37989
6	233	33177
7	239	29675
8	244	26937
9	249	24676
10	255	22936
11	259	21400
12	264	20079
13	270	19023
14	275	18069
15	279	17203
16	285	16480
17	290	15837
18	295	15258
19	301	14767
20	306	14299
21	311	13850
22	317	13478
23	322	13112
24	327	12760
25	332	12449
26	337	12163
27	342	11889
28	347	11633
29	352	11397
30	357	11163
31	361	10946
32	366	10752
33	372	10570
34	376	10392
35	382	10255
36	388	10098
37	392	9934
38	398	9823
39	404	9696
40	408	9560
41	414	9453
42	419	9333
43	424	9223
44	430	9144
45	436	9044
46	441	8945
47	446	8861
48	451	8762
49	456	8664
50	461	8589
51	467	8515
52	471	8429
53	477	8363
54	482	8287
55	487	8212
56	492	8155
57	498	8094
58	503	8023
59	507	7955
60	512	7892
61	517	7828
62	522	7772
63	527	7716
64	532	7660
65	537	7605
66	542	7553
67	547	7504
68	552	7451
69	557	7406
70	562	7363
71	567	7319
72	574	7292
73	579	7251
74	584	7207
75	590	7182
76	596	7146
77	601	7107
78	608	7088
79	613	7054
80	619	7026
81	625	7001
82	631	6973
83	637	6948
84	645	6946
85	652	6931
86	658	6913
87	666	6910
88	674	6907
89	681	6893
90	694	6937
91	701	6925
92	708	6906
93	720	6943
94	732	6981
95	739	6959
96	749	6975
97	756	6959
98	766	6975
99	772	6952
100	785	6989
101	792	6974
102	799	6964
103	806	6947
104	814	6942
105	819	6914
106	827	6905
107	833	6885
108	839	6858
109	846	6846
110	851	6823
111	858	6803
112	863	6780
113	869	6758
114	876	6742
115	881	6720
116	887	6697
117	893	6681
118	899	6661
119	906	6651
120	912	6631
121	919	6616
122	926	6607
123	932	6590
124	940	6580
125	946	6562
126	951	6539
127	957	6522
128	962	6501
129	969	6486
130	975	6473
131	981	6452
132	987	6434
133	992	6415
134	998	6397
135	1005	6391
136	1012	6376
137	1018	6360
138	1023	6341
139	1028	6319
140	1035	6306
141	1040	6286
142	1045	6267
143	1052	6254
144	1057	6235
145	1062	6216
146	1069	6208
147	1074	6186
148	1079	6167
149	1086	6159
150	1092	6139
151	1097	6124
152	1103	6109
153	1109	6092
154	1115	6082
155	1120	6064
156	1126	6047
157	1132	6036
158	1138	6020
159	1143	6002
160	1149	5987
161	1153	5969
162	1159	5951
163	1164	5938
164	1170	5923
165	1175	5907
166	1182	5897
167	1187	5879
168	1192	5861
169	1198	5850
170	1203	5834
171	1208	5817
172	1213	5803
173	1219	5787
174	1223	5769
175	1228	5753
176	1233	5736
177	1238	5721
178	1245	5710
179	1250	5697
180	1256	5684
181	1262	5673
182	1268	5664
183	1275	5658
184	1281	5646
185	1287	5633
186	1293	5624
187	1299	5611
188	1305	5601
189	1311	5592
190	1317	5580
191	1322	5565
192	1328	5553
193	1333	5540
194	1339	5527
195	1344	5514
196	1349	5499
197	1354	5485
198	1359	5472
199	1365	5460
200	1370	5447
201	1375	5434
202	1381	5422
203	1386	5410
204	1392	5400
205	1399	5393
206	1405	5383
207	1411	5374
208	1416	5362
209	1423	5353
210	1428	5339
211	1433	5329
212	1439	5318
213	1444	5304
214	1449	5291
215	1454	5279
216	1459	5266
217	1464	5253
218	1470	5243
219	1475	5231
220	1480	5217
221	1485	5207
222	1491	5195
223	1495	5182
224	1501	5170
225	1506	5158
226	1511	5146
227	1517	5137
228	1522	5125
229	1526	5112
230	1533	5106
231	1538	5094
232	1544	5083
233	1550	5076
234	1555	5064
235	1560	5051
236	1566	5043
237	1571	5031
238	1576	5019
239	1582	5012
240	1587	5000
241	1592	4988
242	1597	4977
243	1602	4965
244	1607	4954
245	1613	4944
246	1618	4934
247	1623	4924
248	1629	4915
249	1634	4904
250	1640	4894
251	1646	4887
252	1652	4878
253	1657	4869
254	1663	4859
255	1668	4849
256	1674	4840
257	1679	4831
258	1685	4821
259	1690	4810
260	1695	4800
261	1700	4788
262	1704	4776
263	1710	4768
264	1715	4757
265	1719	4745
266	1725	4736
267	1729	4724
268	1734	4713
269	1739	4702
270	1744	4692
271	1749	4682
272	1754	4671
273	1759	4662
274	1764	4652
275	1769	4641
276	1775	4633
277	1779	4622
278	1785	4613
279	1791	4606
280	1796	4596
281	1801	4585
282	1807	4578
283	1811	4567
284	1816	4556
285	1820	4545
286	1825	4535
287	1830	4525
288	1835	4515
289	1840	4505
290	1845	4496
291	1850	4486
292	1855	4478
293	1860	4468
294	1865	4458
295	1870	4449
296	1875	4439
297	1880	4430
298	1886	4422
299	1891	4412
300	1896	4403
301	1901	4395
302	1906	4385
303	1911	4375
304	1916	4366
305	1921	4358
306	1926	4349
307	1931	4339
308	1936	4331
309	1942	4322
310	1946	4313
311	1953	4306
312	1958	4298
313	1964	4291
314	1969	4282
315	1973	4272
316	1978	4261
317	1983	4253
318	1987	4243
319	1992	4234
320	1998	4228
321	2003	4219
322	2008	4209
323	2014	4203
324	2019	4193
325	2023	4183
326	2028	4174
327	2033	4166
328	2038	4157
329	2043	4148
330	2048	4140
331	2053	4131
332	2058	4122
333	2063	4114
334	2068	4105
335	2072	4095
336	2077	4086
337	2081	4077
338	2086	4068
339	2092	4061
340	2097	4052
341	2102	4045
342	2107	4037
343	2113	4029
344	2118	4022
345	2124	4015
346	2130	4009
347	2136	4002
348	2144	3999
349	2149	3991
350	2155	3985
351	2160	3977
352	2165	3969
353	2170	3961
354	2175	3953
355	2181	3945
356	2186	3939
357	2192	3931
358	2197	3923
359	2201	3914
360	2206	3906
361	2211	3898
362	2216	3889
363	2221	3881
364	2226	3873
365	2231	3865
366	2236	3858
367	2241	3849
368	2246	3840
369	2250	3832
370	2255	3824
371	2260	3815
372	2264	3806
373	2270	3799
374	2274	3791
375	2279	3783
376	2284	3776
377	2289	3767
378	2294	3759
379	2299	3751
380	2304	3744
381	2308	3735
382	2313	3726
383	2318	3719
384	2324	3713
385	2329	3704
386	2334	3697
387	2339	3690
388	2343	3681
389	2349	3674
390	2353	3666
391	2358	3658
392	2364	3651
393	2369	3644
394	2373	3635
395	2377	3626
396	2383	3619
397	2387	3611
398	2392	3603
399	2397	3596
400	2402	3589
401	2407	3581
402	2413	3575
403	2418	3567
404	2422	3559
405	2428	3552
406	2433	3545
407	2438	3538
408	2443	3531
409	2449	3524
410	2453	3516
411	2458	3508
412	2463	3501
413	2468	3493
414	2472	3485
415	2477	3478
416	2481	3469
417	2486	3462
418	2491	3454
419	2496	3447
420	2501	3440
421	2506	3432
422	2511	3426
423	2516	3418
424	2520	3410
425	2525	3403
426	2530	3395
427	2534	3387
428	2539	3380
429	2544	3373
430	2550	3366
431	2555	3359
432	2560	3353
433	2565	3345
434	2570	3339
435	2576	3333
436	2582	3327
437	2588	3320
438	2593	3314
439	2598	3307
440	2604	3301
441	2609	3294
442	2614	3287
443	2619	3280
444	2624	3273
445	2629	3266
446	2634	3259
447	2640	3253
448	2645	3246
449	2649	3238
450	2654	3231
451	2659	3224
452	2664	3216
453	2669	3209
454	2673	3202
455	2678	3195
456	2682	3187
457	2688	3181
458	2692	3174
459	2697	3166
460	2702	3160
