iter	RMSE
0	10.16110551
1	9.670439482
2	9.225569132
3	8.836056699
4	8.479891578
5	8.160472445
6	7.882544976
7	7.637975598
8	7.418219221
9	7.215681537
10	7.037367892
11	6.888205437
12	6.749889583
13	6.628084699
14	6.520653444
15	6.425971021
16	6.343188795
17	6.27022358
18	6.204718287
19	6.144771857
20	6.095876
21	6.050232224
22	6.008778727
23	5.971366536
24	5.937961141
25	5.908600125
26	5.881751212
27	5.858390195
28	5.836216505
29	5.8149804
30	5.796871218
31	5.778348778
32	5.762719439
33	5.749955746
34	5.736762306
35	5.722570248
36	5.710112064
37	5.698194944
38	5.689205362
39	5.680915919
40	5.671977864
41	5.662938453
42	5.654154669
43	5.646286585
44	5.637934617
45	5.631053369
46	5.624484427
47	5.615901454
48	5.609354052
49	5.601506017
50	5.59618335
51	5.590437217
52	5.585338807
53	5.57932458
54	5.573538959
55	5.568363956
56	5.563446677
57	5.559942741
58	5.556218764
59	5.550322575
60	5.546301635
61	5.541556109
62	5.536762966
63	5.532727158
64	5.529149922
65	5.524367906
66	5.52222778
67	5.51809837
68	5.514843752
69	5.510527156
70	5.506250541
71	5.501161437
72	5.497555501
73	5.495361764
74	5.492635546
75	5.490302423
76	5.487872435
77	5.483077343
78	5.480381625
79	5.477122792
80	5.473306206
81	5.471170755
82	5.469092045
83	5.465864156
84	5.462488012
85	5.460279853
86	5.457316411
87	5.454997226
88	5.451657743
89	5.449791509
90	5.447870173
91	5.445406778
92	5.442057522
93	5.439495108
94	5.437301764
95	5.434371513
96	5.431475436
97	5.429383288
98	5.427931687
99	5.424734314
100	5.422837323
101	5.421158751
102	5.418560055
103	5.416002803
104	5.414460313
105	5.410550551
106	5.408408654
107	5.406347499
108	5.403862247
109	5.401575829
110	5.400213742
111	5.397804719
112	5.394411834
113	5.392295114
114	5.3899549
115	5.388281498
116	5.385937561
117	5.383721572
118	5.381810331
119	5.379808188
120	5.377489007
121	5.375779704
122	5.374619655
123	5.372577244
124	5.37137989
125	5.369217498
126	5.367396486
127	5.364991368
128	5.363360455
129	5.360588065
130	5.357770601
131	5.356169298
132	5.354286364
133	5.351528139
134	5.348692404
135	5.346610047
136	5.344311575
137	5.342090813
138	5.340276616
139	5.339304555
140	5.337554511
141	5.336200581
142	5.333692588
143	5.331705726
144	5.330327432
145	5.329720523
146	5.327882739
147	5.325890212
148	5.324870913
149	5.322779595
150	5.321249593
151	5.319645267
152	5.318570165
153	5.316490814
154	5.315113222
155	5.313800643
156	5.311753787
157	5.30975777
158	5.308733783
159	5.30695005
160	5.305585621
161	5.303073678
162	5.301997423
163	5.300579284
164	5.29916569
165	5.297296894
166	5.296402502
167	5.294494117
168	5.292567613
169	5.291628283
170	5.290088179
171	5.28900988
172	5.286849243
173	5.285255825
174	5.283638456
175	5.281616659
176	5.27977081
177	5.278398193
178	5.277116478
179	5.275375334
180	5.273645746
181	5.272013244
182	5.270676338
183	5.269432913
184	5.267329799
185	5.265297996
186	5.263717809
187	5.262227696
188	5.260451621
189	5.258857841
190	5.257217881
191	5.255388038
192	5.253918622
193	5.253150288
194	5.25180044
195	5.25112796
196	5.24976856
197	5.248497625
198	5.24682306
199	5.245281885
200	5.243213048
201	5.241922687
202	5.240444734
203	5.23946449
204	5.23790927
205	5.236231373
206	5.235260728
207	5.234465004
208	5.233095816
209	5.232052913
210	5.230381675
211	5.228207396
212	5.227269647
213	5.225420792
214	5.224712029
215	5.223462715
216	5.221906833
217	5.220514125
218	5.219212525
219	5.217559757
220	5.216737938
221	5.215690864
222	5.21433249
223	5.213116692
224	5.211695887
225	5.210097
226	5.208520289
227	5.206831672
228	5.205424562
229	5.203932728
230	5.202532834
231	5.201405077
232	5.199887699
233	5.198638732
234	5.196967557
235	5.196036206
236	5.195319738
237	5.193729101
238	5.192387468
239	5.190968599
240	5.190168023
241	5.18920786
242	5.187442921
243	5.186755372
244	5.185738639
245	5.184542973
246	5.183434758
247	5.181587917
248	5.18017659
249	5.178820451
250	5.177982277
251	5.177213144
252	5.175685275
253	5.174415274
254	5.173879748
255	5.172389163
256	5.171092292
257	5.169534648
258	5.168500898
259	5.167152795
260	5.16588992
261	5.164721118
262	5.163624943
263	5.162915025
264	5.161932312
265	5.160630059
266	5.159293576
267	5.158354531
268	5.157043272
269	5.155627541
270	5.154940246
271	5.153563106
272	5.151945508
273	5.150876001
274	5.149410507
275	5.148182533
276	5.147198992
277	5.146793929
278	5.145748251
279	5.144569294
280	5.143011791
281	5.141972486
282	5.140843757
283	5.139508784
284	5.138807736
285	5.137950122
286	5.136629337
287	5.135369089
288	5.134247741
289	5.133349766
290	5.132773067
291	5.13170841
292	5.130726224
293	5.129888568
294	5.129084765
295	5.128403576
296	5.126825249
297	5.126336495
298	5.125426561
299	5.124519347
300	5.124092369
301	5.123784071
302	5.12281096
303	5.12169347
304	5.120648645
305	5.119882434
306	5.119081478
307	5.118271747
308	5.117378453
309	5.116312285
310	5.115465703
311	5.114558782
312	5.113903336
313	5.113144516
314	5.11186871
315	5.110888511
316	5.110221454
317	5.108885644
318	5.10754532
319	5.106086744
320	5.105383028
321	5.104438998
322	5.103319542
323	5.102089653
324	5.101080238
325	5.100448294
326	5.098819767
327	5.098096276
328	5.096964575
329	5.096195425
330	5.095619733
331	5.094381312
332	5.093580809
333	5.092455359
334	5.091562063
335	5.090711638
336	5.089499694
337	5.088461696
338	5.087522893
339	5.086560531
340	5.085672383
341	5.084398198
342	5.083500616
343	5.08299725
344	5.081857035
345	5.080953383
346	5.080313728
347	5.079647757
348	5.079129562
349	5.078074582
350	5.077060375
351	5.076085745
352	5.075467507
353	5.074677534
354	5.073642208
355	5.07232641
356	5.071551176
357	5.07071168
358	5.069685143
359	5.069121573
360	5.068284648
361	5.067428405
362	5.066689683
363	5.066174314
364	5.065023715
365	5.063738075
366	5.062621241
367	5.060940317
368	5.060184767
369	5.059289829
370	5.058973247
371	5.058067964
372	5.057546726
373	5.056352093
374	5.055693165
375	5.054544712
376	5.053862101
377	5.053224447
378	5.052468807
379	5.051394454
380	5.0504006
381	5.049302046
382	5.048650344
383	5.047993125
384	5.047273199
385	5.046986109
386	5.046640578
387	5.045698971
388	5.044482635
389	5.044104274
390	5.043351464
391	5.042610475
392	5.041707597
393	5.041306157
394	5.04058755
395	5.039752557
396	5.038621498
397	5.038125273
398	5.037512634
399	5.036385521
400	5.035373382
401	5.034366021
402	5.033777561
403	5.032726927
404	5.032158807
405	5.031088596
406	5.030206056
407	5.02937575
408	5.02914342
409	5.028369527
410	5.027317356
411	5.026560636
412	5.025924428
413	5.025154683
414	5.024362905
415	5.023690322
416	5.022744399
417	5.021837767
418	5.020871082
419	5.020061235
420	5.019221731
421	5.018292634
422	5.017466642
423	5.016644937
424	5.016232007
425	5.015327816
426	5.014417389
427	5.013676881
428	5.013025363
429	5.012293922
430	5.011343033
431	5.01060843
432	5.00988197
433	5.009130203
434	5.008196689
435	5.007644611
436	5.006815461
437	5.006502605
438	5.00558292
439	5.004863954
440	5.004174875
441	5.003349601
442	5.002393837
443	5.002073273
444	5.001416639
445	5.000321986
446	4.999620621
447	4.999176883
448	4.998275642
449	4.99769194
450	4.997096457
451	4.996337037
452	4.995688033
453	4.994857909
454	4.994266689
455	4.993631892
456	4.992825473
457	4.991988218
458	4.99114861
459	4.99006345
460	4.989031353
461	4.988267046
462	4.987382157
463	4.986742818
464	4.986266583
465	4.985816403
466	4.985129099
467	4.984326277
468	4.98362227
469	4.983008863
470	4.982445036
471	4.981875483
472	4.980999852
473	4.980285859
474	4.979635968
475	4.978170541
476	4.977558643
477	4.976653488
478	4.976052861
479	4.975277184
480	4.974866938
