iter	Passed	Remaining
0	5	5953
1	11	5749
2	16	5556
3	21	5442
4	27	5380
5	32	5309
6	36	5244
7	42	5214
8	47	5216
9	52	5154
10	56	5100
11	61	5102
12	66	5066
13	71	5023
14	76	5033
15	81	5009
16	86	4987
17	91	4979
18	96	4961
19	100	4928
20	105	4907
21	111	4942
22	115	4917
23	120	4898
24	125	4903
25	130	4889
26	135	4873
27	140	4865
28	145	4856
29	149	4840
30	154	4823
31	159	4823
32	164	4814
33	169	4805
34	174	4807
35	179	4793
36	183	4780
37	189	4793
38	194	4786
39	198	4771
40	203	4762
41	208	4759
42	213	4748
43	217	4733
44	223	4732
45	227	4722
46	232	4709
47	237	4706
48	241	4695
49	246	4684
50	251	4672
51	256	4668
52	260	4662
53	265	4650
54	270	4652
55	275	4640
56	279	4631
57	284	4623
58	289	4617
59	294	4611
60	299	4603
61	303	4598
62	308	4590
63	313	4580
64	318	4575
65	322	4563
66	326	4551
67	331	4540
68	336	4535
69	340	4529
70	345	4520
71	350	4515
72	355	4510
73	360	4505
74	365	4504
75	370	4502
76	375	4496
77	379	4488
78	384	4486
79	389	4483
80	394	4479
81	400	4479
82	404	4472
83	409	4463
84	414	4457
85	418	4448
86	423	4440
87	427	4431
88	432	4428
89	437	4420
90	441	4410
91	446	4405
92	451	4398
93	455	4391
94	460	4383
95	465	4379
96	469	4372
97	474	4362
98	478	4356
99	483	4353
100	488	4346
101	493	4340
102	498	4338
103	502	4331
104	507	4323
105	512	4319
106	516	4312
107	521	4304
108	525	4298
109	530	4295
110	535	4285
111	539	4279
112	544	4273
113	549	4267
114	553	4259
115	557	4250
116	562	4246
117	567	4239
118	572	4235
119	577	4232
120	581	4226
121	586	4220
122	591	4218
123	597	4218
124	602	4216
125	607	4212
126	612	4209
127	617	4206
128	622	4201
129	627	4201
130	633	4199
131	637	4193
132	642	4191
133	647	4187
134	652	4183
135	658	4182
136	663	4180
137	668	4176
138	674	4177
139	679	4172
140	684	4168
141	689	4166
142	694	4164
143	699	4160
144	705	4157
145	709	4150
146	714	4144
147	718	4139
148	724	4137
149	729	4134
150	734	4129
151	740	4132
152	745	4127
153	750	4124
154	756	4122
155	760	4116
156	765	4110
157	770	4107
158	775	4101
159	779	4094
160	785	4092
161	795	4112
162	801	4114
163	807	4116
164	812	4111
165	817	4107
166	821	4100
167	826	4093
168	831	4088
169	836	4083
170	840	4075
171	844	4067
172	850	4063
173	854	4056
174	859	4051
175	863	4044
176	869	4041
177	873	4035
178	878	4029
179	883	4024
180	888	4019
181	893	4013
182	897	4008
183	902	4002
184	907	3998
185	912	3992
186	917	3989
187	922	3985
188	928	3982
189	933	3980
190	938	3975
191	943	3969
192	948	3966
193	953	3962
194	958	3958
195	963	3953
196	969	3952
197	980	3972
198	990	3987
199	1009	4037
200	1019	4052
201	1030	4069
202	1036	4071
203	1042	4067
204	1049	4071
205	1056	4071
206	1062	4070
207	1067	4066
208	1073	4063
209	1080	4063
210	1085	4059
211	1091	4055
212	1097	4055
213	1102	4050
214	1107	4045
215	1114	4043
216	1119	4039
217	1126	4039
218	1133	4040
219	1138	4037
220	1144	4034
221	1149	4028
222	1154	4023
223	1161	4022
224	1166	4016
225	1171	4013
226	1178	4013
227	1184	4010
228	1190	4008
229	1197	4008
230	1202	4004
231	1209	4002
232	1214	3997
233	1219	3993
234	1226	3991
235	1231	3986
236	1236	3980
237	1242	3977
238	1247	3972
239	1252	3965
240	1257	3960
241	1262	3954
242	1267	3949
243	1273	3945
244	1278	3939
245	1283	3934
246	1289	3931
247	1295	3927
248	1300	3921
249	1305	3917
250	1310	3911
251	1315	3905
252	1321	3901
253	1326	3895
254	1330	3887
255	1335	3882
256	1341	3877
257	1345	3870
258	1350	3863
259	1355	3859
260	1360	3852
261	1365	3847
262	1372	3845
263	1376	3838
264	1381	3831
265	1387	3827
266	1394	3827
267	1401	3826
268	1407	3825
269	1412	3820
270	1418	3816
271	1423	3810
272	1428	3805
273	1435	3802
274	1440	3797
275	1445	3791
276	1464	3821
277	1469	3815
278	1473	3808
279	1478	3802
280	1484	3797
281	1489	3791
282	1494	3785
283	1500	3782
284	1505	3775
285	1509	3769
286	1516	3767
287	1522	3763
288	1528	3760
289	1535	3759
290	1541	3756
291	1549	3756
292	1555	3753
293	1562	3750
294	1568	3747
295	1574	3743
296	1581	3743
297	1588	3741
298	1594	3739
299	1602	3738
300	1607	3733
301	1613	3729
302	1619	3725
303	1625	3721
304	1632	3719
305	1637	3713
306	1643	3709
307	1651	3709
308	1657	3705
309	1663	3702
310	1669	3698
311	1676	3695
312	1681	3691
313	1687	3686
314	1694	3684
315	1701	3682
316	1708	3680
317	1714	3677
318	1720	3672
319	1726	3669
320	1732	3663
321	1737	3659
322	1744	3656
323	1750	3651
324	1755	3646
325	1762	3643
326	1768	3638
327	1774	3636
328	1780	3631
329	1809	3673
330	1816	3670
331	1823	3669
332	1829	3665
333	1836	3661
334	1843	3659
335	1849	3654
336	1865	3669
337	1871	3665
338	1877	3660
339	1883	3655
340	1892	3657
341	1901	3657
342	1909	3657
343	1916	3655
344	1924	3654
345	1931	3651
346	1938	3648
347	1947	3648
348	1953	3643
349	1961	3641
350	1967	3638
351	1975	3636
352	1981	3631
353	1990	3633
354	1998	3630
355	2008	3632
356	2015	3630
357	2023	3628
358	2029	3623
359	2036	3621
360	2043	3617
361	2050	3613
362	2057	3609
363	2062	3604
364	2070	3602
365	2077	3598
366	2085	3597
367	2092	3593
368	2098	3589
369	2106	3587
370	2112	3581
371	2120	3580
372	2126	3575
373	2134	3573
374	2141	3568
375	2148	3564
